CommonCoreID	CommonCoreDescription	Subject	Grade	SkillsArea	SkillCluster	SkillNumber	SkillName	CareerRelevance
HSS-CP.B.6	Find conditional probability of A given B	Math	11	Statistics	Conditional Probability	HSS-CP.B.6	Calculate conditional probability	Insurance,Finance,Healthcare,Risk Assessment
HSS-CP.B.7	Apply Addition Rule and interpret in terms of model	Math	11	Statistics	Conditional Probability	HSS-CP.B.7	Addition Rule	Probability,Statistics,Insurance,Finance
HSS-CP.B.8	Apply general Multiplication Rule	Math	12	Statistics	Conditional Probability	HSS-CP.B.8	Multiplication Rule	Advanced Statistics,Risk Management,Finance
HSS-CP.B.9	Use permutations and combinations to compute probabilities	Math	12	Statistics	Conditional Probability	HSS-CP.B.9	Counting methods	Computer Science,Statistics,Game Design,Cryptography
HSS-MD.A.1	Define random variable for quantity of interest	Math	12	Statistics	Using Probability	HSS-MD.A.1	Random variables	Statistics,Finance,Insurance,Data Science
HSS-MD.A.2	Calculate expected values and use to solve problems	Math	12	Statistics	Using Probability	HSS-MD.A.2	Expected value	Finance,Insurance,Game Theory,Economics
HSS-MD.A.3	Develop probability distribution for random variable	Math	12	Statistics	Using Probability	HSS-MD.A.3	Probability distributions	Statistics,Finance,Quality Control,Research
HSS-MD.A.4	Develop probability distribution using theoretical probabilities	Math	12	Statistics	Using Probability	HSS-MD.A.4	Theoretical distributions	Statistics,Physics,Engineering,Finance
HSS-MD.B.5	Weigh possible outcomes using probability	Math	12	Statistics	Using Probability	HSS-MD.B.5	Decision making	Business,Finance,Risk Management,Insurance
HSS-MD.B.6	Use probabilities to make fair decisions	Math	11	Statistics	Using Probability	HSS-MD.B.6	Fair decisions	Game Design,Policy Making,Business,Law
HSS-MD.B.7	Analyze decisions and strategies using probability concepts	Math	12	Statistics	Using Probability	HSS-MD.B.7	Strategic analysis	Business Strategy,Game Theory,Finance,Military Strategy
RST.9-10.1	Cite textual evidence to support analysis of science and technical texts	ELA	9	Reading	Science & Technical	RST.9-10.1	Cite technical evidence	Research,Technical Writing,Science,Engineering,Medicine
RST.9-10.2	Determine central ideas or conclusions of text	ELA	9	Reading	Science & Technical	RST.9-10.2	Identify main ideas	Law,Journalism,Research,Policy Analysis,Consulting
RST.9-10.3	Follow precisely complex multistep procedure	ELA	9	Reading	Science & Technical	RST.9-10.3	Follow procedures	Laboratory Science,Manufacturing,Culinary Arts,Healthcare,Engineering
RST.9-10.4	Determine meaning of symbols, key terms, domain-specific words	ELA	9	Reading	Science & Technical	RST.9-10.4	Technical vocabulary	Medicine,Law,Engineering,Science,Technology
RST.9-10.5	Analyze structure of relationships in text	ELA	9	Reading	Science & Technical	RST.9-10.5	Text structure analysis	Research,Technical Writing,Documentation,Education
RST.9-10.6	Analyze author's purpose in explaining or describing	ELA	9	Reading	Science & Technical	RST.9-10.6	Author's purpose	Journalism,Research,Marketing,Public Relations
RST.9-10.7	Translate quantitative or technical information between words and visuals	ELA	9	Reading	Science & Technical	RST.9-10.7	Visual translation	Data Visualization,Technical Writing,UX Design,Architecture,Engineering
RST.9-10.8	Assess extent to which evidence supports author's claim	ELA	10	Reading	Science & Technical	RST.9-10.8	Evaluate evidence	Law,Research,Journalism,Policy Analysis
RST.9-10.9	Compare findings presented in text to other sources	ELA	10	Reading	Science & Technical	RST.9-10.9	Compare sources	Research,Journalism,Academia,Intelligence Analysis
RST.9-10.10	Read and comprehend science/technical texts independently	ELA	10	Reading	Science & Technical	RST.9-10.10	Independent reading	All professional fields
RST.11-12.1	Cite specific textual evidence, attending to important distinctions	ELA	11	Reading	Science & Technical	RST.11-12.1	Advanced citation	Law,Scientific Research,Medical Research,Policy Analysis
RST.11-12.2	Determine central ideas, summarize complex concepts	ELA	11	Reading	Science & Technical	RST.11-12.2	Complex summarization	Consulting,Research,Executive Briefing,Intelligence
RST.11-12.3	Follow complex multistep procedures, attending to special conditions	ELA	11	Reading	Science & Technical	RST.11-12.3	Complex procedures	Research,Laboratory Science,Engineering,Manufacturing
RST.11-12.4	Determine meaning of symbols and domain-specific words in context	ELA	11	Reading	Science & Technical	RST.11-12.4	Advanced vocabulary	Medicine,Law,Research,Engineering
RST.11-12.5	Analyze how text structures information into categories	ELA	11	Reading	Science & Technical	RST.11-12.5	Information organization	Information Architecture,Documentation,Research
RST.11-12.6	Analyze author's purpose in providing explanation or description	ELA	11	Reading	Science & Technical	RST.11-12.6	Purpose analysis	Research,Journalism,Intelligence Analysis
RST.11-12.7	Integrate multiple sources of information in diverse formats	ELA	11	Reading	Science & Technical	RST.11-12.7	Information integration	Research,Consulting,Intelligence,Journalism
RST.11-12.8	Evaluate hypotheses, data, analysis, conclusions in text	ELA	12	Reading	Science & Technical	RST.11-12.8	Critical evaluation	Research Science,Quality Assurance,Medical Research,Environmental Science
RST.11-12.9	Synthesize information from range of sources	ELA	12	Reading	Science & Technical	RST.11-12.9	Synthesis	Consulting,Research,Intelligence Analysis,Journalism,Academic Research
RST.11-12.10	Read and comprehend technical texts in grades 11-12 complexity band	ELA	12	Reading	Science & Technical	RST.11-12.10	Advanced comprehension	All professional and technical fields
W.9-10.1	Write arguments to support claims with valid reasoning	ELA	9	Writing	Argumentation	W.9-10.1	Argumentative writing	Law,Journalism,Marketing,Politics,Public Relations
W.9-10.1.a	Introduce precise claims and distinguish from opposing claims	ELA	9	Writing	Argumentation	W.9-10.1.a	Claim development	Law,Debate,Policy Writing,Editorial Writing
W.9-10.1.b	Develop claims fairly, supplying evidence for each	ELA	9	Writing	Argumentation	W.9-10.1.b	Evidence presentation	Law,Research,Journalism,Academic Writing
W.9-10.1.c	Use words to link sections and clarify relationships	ELA	9	Writing	Argumentation	W.9-10.1.c	Transitions	All writing professions
W.9-10.1.d	Establish and maintain formal style and objective tone	ELA	9	Writing	Argumentation	W.9-10.1.d	Formal writing	Business,Law,Academic,Government
W.9-10.1.e	Provide concluding statement that follows from argument	ELA	9	Writing	Argumentation	W.9-10.1.e	Conclusions	All writing professions
W.9-10.2	Write informative texts to examine complex ideas	ELA	9	Writing	Informative	W.9-10.2	Informative writing	Technical Writing,Journalism,Teaching,Documentation,Research
W.9-10.2.a	Introduce topic and organize complex ideas	ELA	9	Writing	Informative	W.9-10.2.a	Topic introduction	Technical Writing,Journalism,Documentation
W.9-10.2.b	Develop topic with well-chosen facts and details	ELA	9	Writing	Informative	W.9-10.2.b	Topic development	Research,Journalism,Technical Writing
W.9-10.2.c	Use appropriate transitions to link sections	ELA	9	Writing	Informative	W.9-10.2.c	Informative transitions	All writing professions
W.9-10.2.d	Use precise language and domain-specific vocabulary	ELA	9	Writing	Informative	W.9-10.2.d	Technical language	Technical Writing,Science Writing,Medical Writing
W.9-10.2.e	Establish and maintain formal style and objective tone	ELA	9	Writing	Informative	W.9-10.2.e	Formal informative style	Business,Technical,Academic Writing
W.9-10.2.f	Provide concluding statement that follows from information	ELA	9	Writing	Informative	W.9-10.2.f	Informative conclusions	All writing professions
W.9-10.3	Write narratives to develop real or imagined experiences	ELA	9	Writing	Narrative	W.9-10.3	Narrative writing	Creative Writing,Marketing,Film,Game Design,Advertising
W.9-10.3.a	Engage reader by setting out problem or situation	ELA	9	Writing	Narrative	W.9-10.3.a	Narrative engagement	Creative Writing,Marketing,Screenwriting
W.9-10.3.b	Use narrative techniques like dialogue and pacing	ELA	9	Writing	Narrative	W.9-10.3.b	Narrative techniques	Creative Writing,Film,Game Writing,Marketing
W.9-10.3.c	Use variety of techniques to sequence events	ELA	9	Writing	Narrative	W.9-10.3.c	Event sequencing	Film,Creative Writing,Game Design,Journalism
W.9-10.3.d	Use precise words and telling details	ELA	9	Writing	Narrative	W.9-10.3.d	Descriptive language	Creative Writing,Marketing,Journalism
W.9-10.3.e	Provide conclusion that follows from narrative	ELA	9	Writing	Narrative	W.9-10.3.e	Narrative conclusions	Creative Writing,Film,Storytelling
W.9-10.4	Produce clear and coherent writing appropriate to task	ELA	9	Writing	Process	W.9-10.4	Writing process	All professional fields
W.9-10.5	Develop and strengthen writing through planning and revising	ELA	9	Writing	Process	W.9-10.5	Revision process	All writing professions
W.9-10.6	Use technology to produce, publish, update writing products	ELA	9	Writing	Technology	W.9-10.6	Digital writing	Digital Marketing,Web Development,Content Creation,Social Media Management
W.9-10.7	Conduct research projects to answer question or solve problem	ELA	10	Writing	Research	W.9-10.7	Research projects	Scientific Research,Market Research,Academic Research,Product Development
W.9-10.8	Gather relevant information from multiple sources	ELA	10	Writing	Research	W.9-10.8	Source gathering	Research,Journalism,Consulting,Intelligence
W.9-10.9	Draw evidence from literary or informational texts	ELA	10	Writing	Research	W.9-10.9	Textual evidence	Literary Analysis,Research,Law,Academia
W.9-10.10	Write routinely over extended and shorter time frames	ELA	10	Writing	Range	W.9-10.10	Writing stamina	All writing professions
W.11-12.1	Write arguments using valid reasoning and relevant evidence	ELA	11	Writing	Argumentation	W.11-12.1	Advanced argumentation	Law,Policy Making,Editorial Writing,Academic Research,Debate
W.11-12.1.a	Introduce precise, knowledgeable claims	ELA	11	Writing	Argumentation	W.11-12.1.a	Advanced claims	Law,Policy,Research,Academia
W.11-12.1.b	Develop claims and counterclaims fairly and thoroughly	ELA	11	Writing	Argumentation	W.11-12.1.b	Claim analysis	Law,Debate,Policy Analysis,Research
W.11-12.1.c	Use words to link sections and create cohesion	ELA	11	Writing	Argumentation	W.11-12.1.c	Advanced transitions	All advanced writing
W.11-12.1.d	Establish and maintain formal style and objective tone	ELA	11	Writing	Argumentation	W.11-12.1.d	Professional style	Law,Business,Government,Academia
W.11-12.1.e	Provide concluding statement that follows from argument	ELA	11	Writing	Argumentation	W.11-12.1.e	Strong conclusions	All professional writing
W.11-12.2	Write informative texts to examine complex ideas clearly	ELA	11	Writing	Informative	W.11-12.2	Advanced informative	Technical Writing,Research,Documentation,Journalism
W.11-12.2.a	Introduce topic and organize complex ideas for comprehension	ELA	11	Writing	Informative	W.11-12.2.a	Complex organization	Technical Writing,Research,Documentation
W.11-12.2.b	Develop topic thoroughly with significant facts	ELA	11	Writing	Informative	W.11-12.2.b	Thorough development	Research,Technical Writing,Journalism
W.11-12.2.c	Use appropriate transitions and syntax for cohesion	ELA	11	Writing	Informative	W.11-12.2.c	Sophisticated transitions	All advanced writing
W.11-12.2.d	Use precise language and techniques like metaphor	ELA	11	Writing	Informative	W.11-12.2.d	Advanced language	Science Writing,Technical Writing,Journalism
W.11-12.2.e	Establish and maintain formal style and objective tone	ELA	11	Writing	Informative	W.11-12.2.e	Professional informative	Business,Technical,Government Writing
W.11-12.2.f	Provide concluding statement that articulates significance	ELA	11	Writing	Informative	W.11-12.2.f	Significant conclusions	Research,Technical Writing,Policy
W.11-12.3	Write narratives to develop real or imagined experiences effectively	ELA	11	Writing	Narrative	W.11-12.3	Advanced narrative	Creative Writing,Film,Marketing,Game Design
W.11-12.4	Produce clear, coherent writing for task, purpose, audience	ELA	11	Writing	Process	W.11-12.4	Audience awareness	All professional communication
W.11-12.5	Develop and strengthen writing through planning and editing	ELA	11	Writing	Process	W.11-12.5	Advanced revision	All professional writing
W.11-12.6	Use technology to produce and publish sophisticated writing	ELA	11	Writing	Technology	W.11-12.6	Digital publishing	Digital Marketing,Web Content,Publishing,Media
W.11-12.7	Conduct sustained research projects using advanced searches	ELA	12	Writing	Research	W.11-12.7	Extended research	Academic Research,Scientific Research,Market Research,Policy Research
W.11-12.8	Gather information from authoritative sources, assess credibility	ELA	12	Writing	Research	W.11-12.8	Source evaluation	Journalism,Research,Intelligence Analysis,Due Diligence,Fact-Checking
W.11-12.9	Draw evidence from texts to support analysis and research	ELA	12	Writing	Research	W.11-12.9	Evidence synthesis	Research,Law,Academia,Policy Analysis
W.11-12.10	Write routinely for range of tasks, purposes, audiences	ELA	12	Writing	Range	W.11-12.10	Professional writing	All professional fields
SL.9-10.1	Initiate and participate effectively in collaborative discussions	ELA	9	Speaking & Listening	Discussion	SL.9-10.1	Discussion skills	Management,Team Leadership,Consulting,Project Management,Teaching
SL.9-10.1.a	Come to discussions prepared with research	ELA	9	Speaking & Listening	Discussion	SL.9-10.1.a	Preparation	All collaborative professions
SL.9-10.1.b	Work with peers to set rules for discussions	ELA	9	Speaking & Listening	Discussion	SL.9-10.1.b	Collaboration rules	Project Management,Team Leadership
SL.9-10.1.c	Propel conversations by posing and responding to questions	ELA	9	Speaking & Listening	Discussion	SL.9-10.1.c	Discussion leadership	Facilitation,Management,Consulting
SL.9-10.1.d	Respond thoughtfully to diverse perspectives	ELA	9	Speaking & Listening	Discussion	SL.9-10.1.d	Perspective-taking	Management,HR,Diversity & Inclusion
SL.9-10.2	Integrate multiple sources of information presented in diverse media	ELA	9	Speaking & Listening	Integration	SL.9-10.2	Information integration	Research,Consulting,Intelligence,Media
SL.9-10.3	Evaluate speaker's point of view, reasoning, and evidence	ELA	9	Speaking & Listening	Evaluation	SL.9-10.3	Critical listening	Law,HR,Journalism,Management
SL.9-10.4	Present information clearly, concisely, and logically	ELA	9	Speaking & Listening	Presentation	SL.9-10.4	Presentation skills	Sales,Teaching,Public Speaking,Business Development,Training
SL.9-10.5	Make strategic use of digital media in presentations	ELA	9	Speaking & Listening	Media Use	SL.9-10.5	Digital presentations	Marketing,Sales,Teaching,Design,Business Presentations
SL.9-10.6	Adapt speech to variety of contexts and tasks	ELA	10	Speaking & Listening	Adaptation	SL.9-10.6	Speech adaptation	Public Relations,Sales,Politics,Teaching
SL.11-12.1	Lead collaborative discussions, synthesize comments and claims	ELA	11	Speaking & Listening	Leadership	SL.11-12.1	Discussion leadership	Executive Leadership,Project Management,Facilitation,Consulting
SL.11-12.1.a	Come to discussions with thorough preparation	ELA	11	Speaking & Listening	Leadership	SL.11-12.1.a	Advanced preparation	Executive Leadership,Consulting
SL.11-12.1.b	Work with peers to promote civil democratic discussions	ELA	11	Speaking & Listening	Leadership	SL.11-12.1.b	Democratic discussion	Politics,Community Leadership,Board Governance
SL.11-12.1.c	Propel conversations by posing probing questions	ELA	11	Speaking & Listening	Leadership	SL.11-12.1.c	Probing questions	Executive Leadership,Consulting,Coaching
SL.11-12.1.d	Respond thoughtfully and synthesize comments	ELA	11	Speaking & Listening	Leadership	SL.11-12.1.d	Synthesis	Executive Leadership,Facilitation,Consulting
SL.11-12.2	Integrate multiple sources in diverse formats and media	ELA	11	Speaking & Listening	Integration	SL.11-12.2	Media integration	Media Production,Research,Consulting
SL.11-12.3	Evaluate speaker's point of view, reasoning, rhetoric	ELA	11	Speaking & Listening	Evaluation	SL.11-12.3	Rhetorical analysis	Law,Human Resources,Journalism,Intelligence Analysis,Negotiation
SL.11-12.4	Present information with organization, development, substance	ELA	11	Speaking & Listening	Presentation	SL.11-12.4	Advanced presentation	Executive Presentations,Conference Speaking,Teaching
SL.11-12.5	Make strategic use of digital media to enhance understanding	ELA	11	Speaking & Listening	Media Use	SL.11-12.5	Strategic media	Marketing,Advertising,Media Production,Training
SL.11-12.6	Adapt speech to variety of contexts demonstrating command	ELA	12	Speaking & Listening	Adaptation	SL.11-12.6	Professional adaptation	Executive Communication,Diplomacy,Public Relations
L.9-10.1	Demonstrate command of conventions of standard English	ELA	9	Language	Conventions	L.9-10.1	Grammar and usage	All Professional Careers,Writing,Communication,Teaching
L.9-10.1.a	Use parallel structure	ELA	9	Language	Conventions	L.9-10.1.a	Parallel structure	Writing,Marketing,Communications
L.9-10.1.b	Use various types of phrases and clauses	ELA	9	Language	Conventions	L.9-10.1.b	Phrase and clause use	Writing,Journalism,Communications
L.9-10.2	Demonstrate command of capitalization, punctuation, spelling	ELA	9	Language	Mechanics	L.9-10.2	Writing mechanics	All written communication
L.9-10.2.a	Use semicolon to link independent clauses	ELA	9	Language	Mechanics	L.9-10.2.a	Semicolon use	Writing,Editing,Publishing
L.9-10.2.b	Use colon to introduce list or quotation	ELA	9	Language	Mechanics	L.9-10.2.b	Colon use	Writing,Documentation,Publishing
L.9-10.2.c	Spell correctly	ELA	9	Language	Mechanics	L.9-10.2.c	Spelling	All written communication
L.9-10.3	Apply knowledge of language to make effective choices	ELA	9	Language	Style	L.9-10.3	Style choices	Marketing,Advertising,Creative Writing,Public Relations,Brand Management
L.9-10.3.a	Write and edit work for style and tone	ELA	9	Language	Style	L.9-10.3.a	Style editing	Editing,Publishing,Marketing,Communications
L.9-10.4	Determine or clarify meaning of unknown words	ELA	9	Language	Vocabulary	L.9-10.4	Vocabulary strategies	All professional fields
L.9-10.4.a	Use context as clue to meaning	ELA	9	Language	Vocabulary	L.9-10.4.a	Context clues	Reading,Research,Communications
L.9-10.4.b	Identify and use patterns of word changes	ELA	9	Language	Vocabulary	L.9-10.4.b	Word patterns	Language Learning,Communications
L.9-10.4.c	Consult reference materials	ELA	9	Language	Vocabulary	L.9-10.4.c	Reference use	Research,Writing,Editing
L.9-10.4.d	Verify preliminary determination of meaning	ELA	9	Language	Vocabulary	L.9-10.4.d	Meaning verification	Research,Writing,Translation
L.9-10.5	Demonstrate understanding of figurative language	ELA	10	Language	Figurative Language	L.9-10.5	Figurative language	Creative Writing,Marketing,Literature,Advertising
L.9-10.5.a	Interpret figures of speech in context	ELA	10	Language	Figurative Language	L.9-10.5.a	Figure interpretation	Literature,Creative Writing,Marketing
L.9-10.5.b	Analyze nuances in word meanings	ELA	10	Language	Figurative Language	L.9-10.5.b	Word nuances	Writing,Translation,Communications,Law
L.9-10.6	Acquire and use academic and domain-specific vocabulary	ELA	10	Language	Academic Vocabulary	L.9-10.6	Academic vocabulary	All Professional Careers,Specialized Fields,Technical Roles
L.11-12.1	Demonstrate command of conventions in writing and speaking	ELA	11	Language	Conventions	L.11-12.1	Advanced conventions	Professional Writing,Public Speaking,Leadership
L.11-12.1.a	Apply understanding of syntax for effect	ELA	11	Language	Conventions	L.11-12.1.a	Syntax for effect	Creative Writing,Speechwriting,Marketing
L.11-12.1.b	Resolve issues of complex or contested usage	ELA	11	Language	Conventions	L.11-12.1.b	Usage resolution	Editing,Publishing,Technical Writing
L.11-12.2	Demonstrate command of capitalization, punctuation, spelling	ELA	11	Language	Mechanics	L.11-12.2	Advanced mechanics	Professional Writing,Editing,Publishing
L.11-12.2.a	Observe hyphenation conventions	ELA	11	Language	Mechanics	L.11-12.2.a	Hyphenation	Editing,Publishing,Technical Writing
L.11-12.2.b	Spell correctly	ELA	11	Language	Mechanics	L.11-12.2.b	Advanced spelling	All professional writing
L.11-12.3	Apply knowledge to vary syntax for effect	ELA	11	Language	Style	L.11-12.3	Syntax variation	Creative Writing,Speechwriting,Marketing,Advertising
L.11-12.3.a	Vary syntax for effect, apply understanding	ELA	11	Language	Style	L.11-12.3.a	Stylistic variation	Creative Writing,Marketing,Speechwriting
L.11-12.4	Determine or clarify meaning of unknown words systematically	ELA	11	Language	Vocabulary	L.11-12.4	Systematic vocabulary	Research,Professional Development,Academia
L.11-12.4.a	Use context as clue to meaning of word or phrase	ELA	11	Language	Vocabulary	L.11-12.4.a	Advanced context	Professional Reading,Research
L.11-12.4.b	Identify and correctly use patterns of word changes	ELA	11	Language	Vocabulary	L.11-12.4.b	Advanced patterns	Technical Writing,Academia,Translation
L.11-12.4.c	Consult specialized reference materials	ELA	11	Language	Vocabulary	L.11-12.4.c	Specialized references	Research,Technical Fields,Academia
L.11-12.4.d	Verify determination by checking in context	ELA	11	Language	Vocabulary	L.11-12.4.d	Advanced verification	Research,Editing,Translation
L.11-12.5	Demonstrate understanding of figurative language and nuances	ELA	12	Language	Figurative Language	L.11-12.5	Advanced figurative	Literature,Creative Writing,Marketing,Criticism
L.11-12.5.a	Interpret figures of speech and analyze role in text	ELA	12	Language	Figurative Language	L.11-12.5.a	Literary analysis	Literary Criticism,Publishing,Academia
L.11-12.5.b	Analyze nuances in words with similar denotations	ELA	12	Language	Figurative Language	L.11-12.5.b	Nuance analysis	Law,Diplomacy,Translation,Writing
L.11-12.6	Acquire and use general academic and domain-specific words	ELA	12	Language	Academic Vocabulary	L.11-12.6	Professional vocabulary	All Professional Fields,Specialized Careers,Academia
